2025-09-18 17:35:19 | INFO | Kafka broker address: 172.21.223.52:9092
2025-09-18 17:35:19 | INFO | Kafka is ready. Brokers: {'throttle_time_ms': 0, 'brokers': [{'node_id': 0, 'host': 'localhost', 'port': 9092, 'rack': None}], 'cluster_id': 'fCKkC1fvT7e0yHJQ3TZReQ', 'controller_id': 0}
2025-09-18 17:35:19 | INFO | Step 2. Create a Kafka consumer.
2025-09-18 17:35:19 | INFO | KAFKA_BROKER_ADDRESS: 172.21.223.52:9092
2025-09-18 17:35:19 | INFO | Kafka broker address: 172.21.223.52:9092
2025-09-18 17:35:19 | INFO | Creating Kafka consumer. Topic='buzzline_v2' and group ID='buzz_group'.
2025-09-18 17:35:19 | INFO | Kafka consumer created successfully.
2025-09-18 17:35:19 | INFO | Kafka consumer created successfully.
2025-09-18 17:35:19 | INFO | Step 3. Verify topic exists.
2025-09-18 17:35:19 | INFO | KAFKA_BROKER_ADDRESS: 172.21.223.52:9092
2025-09-18 17:35:19 | INFO | Kafka broker address: 172.21.223.52:9092
2025-09-18 17:35:19 | INFO | is_topic_available: topic 'buzzline_v2' found on 172.21.223.52:9092.
2025-09-18 17:35:19 | INFO | Kafka topic 'buzzline_v2' is ready.
2025-09-18 17:35:19 | INFO | Step 4. Process messages.
2025-09-18 17:35:20 | INFO | Calling SQLite insert_message() with:
2025-09-18 17:35:20 | INFO | message={'message': 'I just shared a meme! It was exciting.', 'author': 'Alice', 'timestamp': '2025-09-18 17:26:11', 'category': 'humor', 'sentiment': 0.37, 'keyword_mentioned': 'meme', 'message_length': 38}
2025-09-18 17:35:20 | INFO | db_path=WindowsPath('C:/Users/admin/OneDrive/Desktop/Masters/Streaming Data/Mod 5/buzzline-05-schroder/data/buzz.sqlite')
2025-09-18 17:35:20 | INFO | Inserted one message into the database.
2025-09-18 17:35:20 | INFO | Calling SQLite insert_message() with:
2025-09-18 17:35:20 | INFO | message={'message': 'I just tried travel! It was boring.', 'author': 'Alice', 'timestamp': '2025-09-18 17:26:16', 'category': 'travel', 'sentiment': 0.69, 'keyword_mentioned': 'travel', 'message_length': 35}
2025-09-18 17:35:20 | INFO | db_path=WindowsPath('C:/Users/admin/OneDrive/Desktop/Masters/Streaming Data/Mod 5/buzzline-05-schroder/data/buzz.sqlite')
2025-09-18 17:35:20 | INFO | Inserted one message into the database.
2025-09-18 17:35:20 | INFO | Calling SQLite insert_message() with:
2025-09-18 17:35:20 | INFO | message={'message': 'I just saw game! It was amazing.', 'author': 'Charlie', 'timestamp': '2025-09-18 17:26:21', 'category': 'gaming', 'sentiment': 0.7, 'keyword_mentioned': 'game', 'message_length': 32}
2025-09-18 17:35:20 | INFO | db_path=WindowsPath('C:/Users/admin/OneDrive/Desktop/Masters/Streaming Data/Mod 5/buzzline-05-schroder/data/buzz.sqlite')
2025-09-18 17:35:20 | INFO | Inserted one message into the database.
2025-09-18 17:35:20 | INFO | Calling SQLite insert_message() with:
2025-09-18 17:35:20 | INFO | message={'message': 'I just tried an app! It was funny.', 'author': 'Alice', 'timestamp': '2025-09-18 17:26:27', 'category': 'other', 'sentiment': 0.13, 'keyword_mentioned': 'other', 'message_length': 34}
2025-09-18 17:35:20 | INFO | db_path=WindowsPath('C:/Users/admin/OneDrive/Desktop/Masters/Streaming Data/Mod 5/buzzline-05-schroder/data/buzz.sqlite')
2025-09-18 17:35:20 | INFO | Inserted one message into the database.
2025-09-18 17:35:20 | INFO | Calling SQLite insert_message() with:
2025-09-18 17:35:20 | INFO | message={'message': 'I just loved an app! It was weird.', 'author': 'Charlie', 'timestamp': '2025-09-18 17:26:32', 'category': 'other', 'sentiment': 0.3, 'keyword_mentioned': 'other', 'message_length': 34}
2025-09-18 17:35:20 | INFO | db_path=WindowsPath('C:/Users/admin/OneDrive/Desktop/Masters/Streaming Data/Mod 5/buzzline-05-schroder/data/buzz.sqlite')
2025-09-18 17:35:20 | INFO | Inserted one message into the database.
2025-09-18 17:35:20 | INFO | Calling SQLite insert_message() with:
2025-09-18 17:35:20 | INFO | message={'message': 'I just tried a movie! It was boring.', 'author': 'Bob', 'timestamp': '2025-09-18 17:26:37', 'category': 'entertainment', 'sentiment': 0.25, 'keyword_mentioned': 'movie', 'message_length': 36}
